Date,Exchange,Company Name,Number of Shares,Price,Status,Symbol,Number of Shares
2006-01-25,OTCBB,"ARGYLE SECURITY, INC.",3625000.0,8.00,priced,ARGLU,29000000.0
2006-01-24,Nasdaq National Market,"MAGYAR BANCORP, INC.",2723292.0,10.00,priced,MGYR,27232920.0
2006-01-20,Nasdaq National Market,"AMERICAN RAILCAR INDUSTRIES, INC.",8500000.0,21.00,priced,ARII,178500000.0
2006-01-19,New York Stock Exchange,"WESTERN REFINING, INC.",22500000.0,17.00,priced,WNR,382500000.0
2006-01-19,New York Stock Exchange,CNX GAS CORP,27936667.0,21.75,priced,CXG,607622507.0
2006-01-18,,"AMSTAR INTERNATIONAL, INC.",,,withdrawn,,
2006-01-17,,NES WORLDWIDE INC,,,withdrawn,,
2006-01-13,Nasdaq National Market,"PRESSBURG, LLC",11750000.0,21.00,priced,LINE,246750000.0
2006-01-10,,"GLYCOTEX, INC.",,,withdrawn,,
2006-01-09,,"SAFE AUTO INSURANCE GROUP, INC.",,,withdrawn,,
2006-01-06,,ITALIAN FOOD & BEVERAGE CORP,,,withdrawn,,
2006-01-04,,"AEROGROW INTERNATIONAL, INC.",,,withdrawn,,
2006-02-28,American Stock Exchange,"GRUBB & ELLIS REALTY ADVISORS, INC.",20833334.0,6.00,priced,GAV'U,125000004.0
2006-02-24,New York Stock Exchange,PACIFIC AIRPORT GROUP,29025652.0,21.00,priced,PAC,609538692.0
2006-02-24,OTCBB,KYN CAPITAL GROUP INC,500000.0,5.00,priced,NTYN,2500000.0
2006-02-23,,MSTG SOLUTIONS INC,,,withdrawn,,
2006-02-23,Nasdaq National Market,LIQUIDITY SERVICES INC,7687362.0,10.00,priced,LQDT,76873620.0
2006-02-22,,"TECHNOLOGY SPECTRUM, INC.",,,withdrawn,,
2006-02-21,New York Stock Exchange,MARINER ENERGY INC,33348130.0,20.00,priced,ME,666962600.0
2006-02-17,,AMERICAN METAL TECHNOLOGY GROUP,,,withdrawn,,
2006-02-16,,CORUS PHARMA INC,,,withdrawn,,
2006-02-16,American Stock Exchange,CLARK HOLDINGS INC.,10000000.0,8.00,priced,GLA-U,80000000.0
2006-02-15,,BHC INC,,,withdrawn,,
2006-02-14,,FUTUREFUEL CORP.,,,withdrawn,,
2006-02-14,Nasdaq National Market,MORGANS HOTEL GROUP CO.,18000000.0,20.00,priced,MHGC,360000000.0
